PointOfSale;Product;Date;Stock
121017;17240503200796;2019-07-27;4
121017;17240503200796;2019-07-28;4
121017;17240503200796;2019-07-29;4
121017;17240503200796;2019-07-30;4
121017;17240503200796;2019-07-31;4
121017;17240503200796;2019-08-01;4
121017;17240503200796;2019-08-02;4
121017;17240503200796;2019-08-03;4
121017;17240503200796;2019-08-04;4
121017;17240503200796;2019-08-05;4
121017;17240503200796;2019-08-06;4
121017;17240503200796;2019-08-07;4
121017;17240503200796;2019-08-08;4
121017;17240503200796;2019-08-09;4
121017;17240503200796;2019-08-10;4
121017;17240503200796;2019-08-11;4
121017;17240503200796;2019-08-12;4
121017;17240503200796;2019-08-13;4
121017;17240503200796;2019-08-14;4
121017;17240503200796;2019-08-15;4
121017;17240503200796;2019-08-16;4
121017;17240503200796;2019-07-23;5
121017;17240503200796;2019-07-24;5
121017;17240503200796;2019-07-25;5
121017;17240503200796;2019-07-26;5
121017;17240503200796;2019-06-28;3
121017;17240503200796;2019-06-29;3
121017;17240503200796;2019-06-30;3
121017;17240503200796;2019-07-01;3
121017;17240503200796;2019-07-02;3
121017;17240503200796;2019-07-04;3
121017;17240503200796;2019-07-05;3
121017;17240503200796;2019-07-06;3
121017;17240503200796;2019-07-07;3
121017;17240503200796;2019-07-08;3
121017;17240503200796;2019-07-09;3
121017;17240503200796;2019-07-10;3
121017;17240503200796;2019-07-11;3
121017;17240503200796;2019-07-12;3
121017;17240503200796;2019-07-13;3
121017;17240503200796;2019-07-14;3
121017;17240503200796;2019-07-15;3
121017;17240503200796;2019-07-16;3
121017;17240503200796;2019-07-17;3
121017;17240503200796;2019-07-18;3
121017;17240503200796;2019-07-19;3
121017;17240503200796;2019-07-20;3
121017;17240503200796;2019-07-21;3
121017;17240503200796;2019-07-22;4
121017;17240503200796;2019-06-01;3
121017;17240503200796;2019-06-02;3
121017;17240503200796;2019-06-03;3
121017;17240503200796;2019-06-04;3
121017;17240503200796;2019-06-05;3
121017;17240503200796;2019-06-06;3
121017;17240503200796;2019-06-07;3
121017;17240503200796;2019-06-08;3
121017;17240503200796;2019-06-09;3
121017;17240503200796;2019-06-10;3
121017;17240503200796;2019-06-11;3
121017;17240503200796;2019-06-12;3
121017;17240503200796;2019-06-13;3
121017;17240503200796;2019-06-14;3
121017;17240503200796;2019-06-15;3
121017;17240503200796;2019-06-16;3
121017;17240503200796;2019-06-17;3
121017;17240503200796;2019-06-18;3
121017;17240503200796;2019-06-19;3
121017;17240503200796;2019-06-20;3
121017;17240503200796;2019-06-21;3
121017;17240503200796;2019-06-22;3
121017;17240503200796;2019-06-23;3
121017;17240503200796;2019-06-24;3
121017;17240503200796;2019-06-25;3
121017;17240503200796;2019-06-26;3
121017;17240503200796;2019-06-27;3
121017;17240503300796;2019-07-03;3
121017;17240503300796;2019-08-17;3
121017;17240503300796;2019-08-18;3
121017;17240503300796;2019-08-19;3
121017;17240503300796;2019-08-20;3
121017;17240503300796;2019-08-21;3
121017;17240503300796;2019-08-22;3
121017;17240503300796;2019-07-27;3
121017;17240503300796;2019-07-28;3
121017;17240503300796;2019-07-29;3
121017;17240503300796;2019-07-30;3
121017;17240503300796;2019-07-31;3
121017;17240503300796;2019-08-01;3
121017;17240503300796;2019-08-02;3
121017;17240503300796;2019-08-03;3
121017;17240503300796;2019-08-04;3
121017;17240503300796;2019-08-05;3
121017;17240503300796;2019-08-06;3
121017;17240503300796;2019-08-07;3
121017;17240503300796;2019-08-08;3
121017;17240503300796;2019-08-09;3
121017;17240503300796;2019-08-10;3
121017;17240503300796;2019-08-11;3
121017;17240503300796;2019-08-12;3
121017;17240503300796;2019-08-13;3
121017;17240503300796;2019-08-14;3
121017;17240503300796;2019-08-15;3
121017;17240503300796;2019-08-16;3
121017;17240503300796;2019-07-23;3
121017;17240503300796;2019-07-24;3
121017;17240503300796;2019-07-25;3
121017;17240503300796;2019-07-26;3
121017;17240503300796;2019-06-28;3
121017;17240503300796;2019-06-29;3
121017;17240503300796;2019-06-30;3
121017;17240503300796;2019-07-01;3
121017;17240503300796;2019-07-02;3
121017;17240503300796;2019-07-04;3
121017;17240503300796;2019-07-05;3
121017;17240503300796;2019-07-06;3
121017;17240503300796;2019-07-07;3
121017;17240503300796;2019-07-08;3
121017;17240503300796;2019-07-09;3
121017;17240503300796;2019-07-10;3
121017;17240503300796;2019-07-11;3
121017;17240503300796;2019-07-12;3
121017;17240503300796;2019-07-13;3
121017;17240503300796;2019-07-14;3
121017;17240503300796;2019-07-15;3
121017;17240503300796;2019-07-16;3
121017;17240503300796;2019-07-17;3
121017;17240503300796;2019-07-18;3
121017;17240503300796;2019-07-19;3
121017;17240503300796;2019-07-20;3
121017;17240503300796;2019-07-21;3
121017;17240503300796;2019-07-22;3
121017;17240503300796;2019-06-01;3
121017;17240503300796;2019-06-02;3
121017;17240503300796;2019-06-03;3
121017;17240503300796;2019-06-04;3
121017;17240503300796;2019-06-05;3
121017;17240503300796;2019-06-06;3
121017;17240503300796;2019-06-07;3
121017;17240503300796;2019-06-08;3
121017;17240503300796;2019-06-09;3
121017;17240503300796;2019-06-10;3
121017;17240503300796;2019-06-11;3
121017;17240503300796;2019-06-12;3
121017;17240503300796;2019-06-13;3
121017;17240503300796;2019-06-14;3
121017;17240503300796;2019-06-15;3
121017;17240503300796;2019-06-16;3
121017;17240503300796;2019-06-17;3
121017;17240503300796;2019-06-18;3
121017;17240503300796;2019-06-19;3
121017;17240503300796;2019-06-20;3
121017;17240503300796;2019-06-21;3
121017;17240503300796;2019-06-22;3
121017;17240503300796;2019-06-23;3
121017;17240503300796;2019-06-24;3
121017;17240503300796;2019-06-25;3
121017;17240503300796;2019-06-26;3
121017;17240503300796;2019-06-27;3
121017;17240503410236;2019-07-03;1
121017;17240503410236;2019-08-17;2
121017;17240503410236;2019-08-18;2
121017;17240503410236;2019-08-19;2
121017;17240503410236;2019-08-20;2
121017;17240503410236;2019-08-21;2
121017;17240503410236;2019-08-22;2
121017;17240503410236;2019-07-27;1
121017;17240503410236;2019-07-28;1
121017;17240503410236;2019-07-29;1
121017;17240503410236;2019-07-30;1
121017;17240503410236;2019-07-31;1
121017;17240503410236;2019-08-01;1
121017;17240503410236;2019-08-02;1
121017;17240503410236;2019-08-03;1
121017;17240503410236;2019-08-04;1
121017;17240503410236;2019-08-05;1
121017;17240503410236;2019-08-06;1
121017;17240503410236;2019-08-07;1
121017;17240503410236;2019-08-08;1
121017;17240503410236;2019-08-09;1
121017;17240503410236;2019-08-10;1
121017;17240503410236;2019-08-11;1
121017;17240503410236;2019-08-12;1
121017;17240503410236;2019-08-13;1
121017;17240503410236;2019-08-14;1
121017;17240503410236;2019-08-15;1
121017;17240503410236;2019-08-16;1
121017;17240503410236;2019-07-23;1
121017;17240503410236;2019-07-24;1
121017;17240503410236;2019-07-25;1
121017;17240503410236;2019-07-26;1
121017;17240503410236;2019-06-28;1
121017;17240503410236;2019-06-29;1
121017;17240503410236;2019-06-30;1
121017;17240503410236;2019-07-01;1
121017;17240503410236;2019-07-02;1
121017;17240503410236;2019-07-04;1
121017;17240503410236;2019-07-05;1
121017;17240503410236;2019-07-06;1
121017;17240503410236;2019-07-07;1
121017;17240503410236;2019-07-08;1
121017;17240503410236;2019-07-09;1
121017;17240503410236;2019-07-10;1
121017;17240503410236;2019-07-11;1
121017;17240503410236;2019-07-12;1
121017;17240503410236;2019-07-13;1
121017;17240503410236;2019-07-14;1
121017;17240503410236;2019-07-15;1
121017;17240503410236;2019-07-16;1
121017;17240503410236;2019-07-17;1
121017;17240503410236;2019-07-18;1
121017;17240503410236;2019-07-19;1
121017;17240503410236;2019-07-20;1
121017;17240503410236;2019-07-21;1
121017;17240503410236;2019-07-22;1
121017;17240503410236;2019-06-08;1
121017;17240503410236;2019-06-09;1
121017;17240503410236;2019-06-10;1
121017;17240503410236;2019-06-11;1
121017;17240503410236;2019-06-12;1
121017;17240503410236;2019-06-13;1
121017;17240503410236;2019-06-14;1
121017;17240503410236;2019-06-15;1
121017;17240503410236;2019-06-16;1
121017;17240503410236;2019-06-17;1
121017;17240503410236;2019-06-18;1
121017;17240503410236;2019-06-19;1
121017;17240503410236;2019-06-20;1
121017;17240503410236;2019-06-21;1
121017;17240503410236;2019-06-22;1
121017;17240503410236;2019-06-23;1
121017;17240503410236;2019-06-24;1
121017;17240503410236;2019-06-25;1
121017;17240503410236;2019-06-26;1
121017;17240503410236;2019-06-27;1
121017;18108100003446;2019-08-17;1
121017;18108100003446;2019-08-18;1
121017;18108100003446;2019-08-19;1
121017;18108100003446;2019-08-20;1
121017;18108100003446;2019-08-21;1
121017;18108100003446;2019-08-22;1
121017;18108100003446;2019-07-27;1
121017;18108100003446;2019-07-28;1
121017;18108100003446;2019-07-29;1
121017;18108100003446;2019-07-30;1
121017;18108100003446;2019-07-31;1
121017;18108100003446;2019-08-01;1
121017;18108100003446;2019-08-02;1
121017;18108100003446;2019-08-03;1
121017;18108100003446;2019-08-04;1
121017;18108100003446;2019-08-05;1
121017;18108100003446;2019-08-06;1
121017;18108100003446;2019-08-07;1
121017;18108100003446;2019-08-08;1
121017;18108100003446;2019-08-09;1
121017;18108100003446;2019-08-10;1
121017;18108100003446;2019-08-11;1
121017;18108100003446;2019-08-12;1
121017;18108100003446;2019-08-13;1
121017;18108100003446;2019-08-14;1
121017;18108100003446;2019-08-15;1
121017;18108100003446;2019-08-16;1
121017;18108100003446;2019-07-23;1
121017;18108100003446;2019-07-24;1
121017;18108100003446;2019-07-25;1
121017;18108100003446;2019-07-26;1
121017;18108100003446;2019-07-04;1
121017;18108100003446;2019-07-05;1
121017;18108100003446;2019-07-06;1
121017;18108100003446;2019-07-07;1
121017;18108100003446;2019-07-08;1
121017;18108100003446;2019-07-09;1
121017;18108100003446;2019-07-10;1
121017;18108100003446;2019-07-11;1
121017;18108100003446;2019-07-12;1
121017;18108100003446;2019-07-13;1
121017;18108100003446;2019-07-14;1
121017;18108100003446;2019-07-15;1
121017;18108100003446;2019-07-16;1
121017;18108100003446;2019-07-17;1
121017;18108100003446;2019-07-18;1
121017;18108100003446;2019-07-19;1
121017;18108100003446;2019-07-20;1
121017;18108100003446;2019-07-21;1
121017;18108100003446;2019-07-22;1
121017;18108100003448;2019-07-03;1
121017;18108100003448;2019-08-17;1
121017;18108100003448;2019-08-18;1
121017;18108100003448;2019-08-19;1
121017;18108100003448;2019-08-20;1
121017;18108100003448;2019-08-21;1
121017;18108100003448;2019-08-22;1
121017;18108100003448;2019-07-27;1
121017;18108100003448;2019-07-28;1
121017;18108100003448;2019-07-29;1
121017;18108100003448;2019-07-30;1
121017;18108100003448;2019-07-31;1
121017;18108100003448;2019-08-01;1
121017;18108100003448;2019-08-02;1
121017;18108100003448;2019-08-03;1
121017;18108100003448;2019-08-04;1
121017;18108100003448;2019-08-05;1
121017;18108100003448;2019-08-06;1
121017;18108100003448;2019-08-07;1
121017;18108100003448;2019-08-08;1
121017;18108100003448;2019-08-09;1
121017;18108100003448;2019-08-10;1
121017;18108100003448;2019-08-11;1
121017;18108100003448;2019-08-12;1
121017;18108100003448;2019-08-13;1
121017;18108100003448;2019-08-14;1
121017;18108100003448;2019-08-15;1
121017;18108100003448;2019-08-16;1
121017;18108100003448;2019-07-23;1
121017;18108100003448;2019-07-24;1
121017;18108100003448;2019-07-25;1
121017;18108100003448;2019-07-26;1
121017;18108100003448;2019-06-28;1
121017;18108100003448;2019-06-29;1
121017;18108100003448;2019-06-30;1
121017;18108100003448;2019-07-01;1
121017;18108100003448;2019-07-02;1
121017;18108100003448;2019-07-04;1
121017;18108100003448;2019-07-05;1
121017;18108100003448;2019-07-06;1
121017;18108100003448;2019-07-07;1
121017;18108100003448;2019-07-08;1
121017;18108100003448;2019-07-09;1
121017;18108100003448;2019-07-10;1
121017;18108100003448;2019-07-11;1
121017;18108100003448;2019-07-12;1
121017;18108100003448;2019-07-13;1
121017;18108100003448;2019-07-14;1
121017;18108100003448;2019-07-15;1
121017;18108100003448;2019-07-16;1
121017;18108100003448;2019-07-17;1
121017;18108100003448;2019-07-18;1
121017;18108100003448;2019-07-19;1
121017;18108100003448;2019-07-20;1
121017;18108100003448;2019-07-21;1
121017;18108100003448;2019-07-22;1
121017;18108100003448;2019-06-01;1
121017;18108100003448;2019-06-02;1
121017;18108100003448;2019-06-03;1
121017;18108100003448;2019-06-04;1
121017;18108100003448;2019-06-05;1
121017;18108100003448;2019-06-06;1
121017;18108100003448;2019-06-07;1
121017;18108100003448;2019-06-08;1
121017;18108100003448;2019-06-09;1
121017;18108100003448;2019-06-10;1
121017;18108100003448;2019-06-11;1
121017;18108100003448;2019-06-12;1
121017;18108100003448;2019-06-13;1
121017;18108100003448;2019-06-14;1
121017;18108100003448;2019-06-15;1
121017;18108100003448;2019-06-16;1
121017;18108100003448;2019-06-17;1
121017;18108100003448;2019-06-18;1
121017;18108100003448;2019-06-19;1
121017;18108100003448;2019-06-20;1
121017;18108100003448;2019-06-21;1
121017;18108100003448;2019-06-22;1
121017;18108100003448;2019-06-23;1
121017;18108100003448;2019-06-24;1
121017;18108100003448;2019-06-25;1
121017;18108100003448;2019-06-26;1
121017;18108100003448;2019-06-27;1
121017;18108400000034;2019-07-03;7
121017;18108400000034;2019-08-17;7
121017;18108400000034;2019-08-18;7
121017;18108400000034;2019-08-19;7
121017;18108400000034;2019-08-20;7
121017;18108400000034;2019-08-21;7
121017;18108400000034;2019-08-22;7
121017;18108400000034;2019-07-27;7
121017;18108400000034;2019-07-28;7
121017;18108400000034;2019-07-29;7
121017;18108400000034;2019-07-30;7
121017;18108400000034;2019-07-31;7
121017;18108400000034;2019-08-01;7
121017;18108400000034;2019-08-02;7
121017;18108400000034;2019-08-03;7
121017;18108400000034;2019-08-04;7
121017;18108400000034;2019-08-05;7
121017;18108400000034;2019-08-06;7
121017;18108400000034;2019-08-07;7
121017;18108400000034;2019-08-08;7
121017;18108400000034;2019-08-09;7
121017;18108400000034;2019-08-10;7
121017;18108400000034;2019-08-11;7
121017;18108400000034;2019-08-12;7
121017;18108400000034;2019-08-13;7
121017;18108400000034;2019-08-14;7
121017;18108400000034;2019-08-15;7
121017;18108400000034;2019-08-16;7
121017;18108400000034;2019-07-23;7
121017;18108400000034;2019-07-24;7
121017;18108400000034;2019-07-25;7
121017;18108400000034;2019-07-26;7
121017;18108400000034;2019-06-28;7
121017;18108400000034;2019-06-29;7
121017;18108400000034;2019-06-30;7
121017;18108400000034;2019-07-01;7
121017;18108400000034;2019-07-02;7
121017;18108400000034;2019-07-04;7
121017;18108400000034;2019-07-05;7
121017;18108400000034;2019-07-06;7
121017;18108400000034;2019-07-07;7
121017;18108400000034;2019-07-08;7
121017;18108400000034;2019-07-09;7
121017;18108400000034;2019-07-10;7
121017;18108400000034;2019-07-11;7
121017;18108400000034;2019-07-12;7
121017;18108400000034;2019-07-13;7
121017;18108400000034;2019-07-14;7
121017;18108400000034;2019-07-15;7
121017;18108400000034;2019-07-16;7
121017;18108400000034;2019-07-17;7
121017;18108400000034;2019-07-18;7
121017;18108400000034;2019-07-19;7
121017;18108400000034;2019-07-20;7
121017;18108400000034;2019-07-21;7
121017;18108400000034;2019-07-22;7
121017;18108400000034;2019-06-01;7
121017;18108400000034;2019-06-02;7
121017;18108400000034;2019-06-03;7
121017;18108400000034;2019-06-04;7
121017;18108400000034;2019-06-05;7
121017;18108400000034;2019-06-06;7
121017;18108400000034;2019-06-07;7
121017;18108400000034;2019-06-08;7
121017;18108400000034;2019-06-09;7
121017;18108400000034;2019-06-10;7
121017;18108400000034;2019-06-11;7
121017;18108400000034;2019-06-12;7
121017;18108400000034;2019-06-13;7
121017;18108400000034;2019-06-14;7
121017;18108400000034;2019-06-15;7
121017;18108400000034;2019-06-16;7
121017;18108400000034;2019-06-17;7
121017;18108400000034;2019-06-18;7
121017;18108400000034;2019-06-19;7
121017;18108400000034;2019-06-20;7
121017;18108400000034;2019-06-21;7
121017;18108400000034;2019-06-22;7
121017;18108400000034;2019-06-23;7
121017;18108400000034;2019-06-24;7
121017;18108400000034;2019-06-25;7
121017;18108400000034;2019-06-26;7
121017;18108400000034;2019-06-27;7
121017;18108400000036;2019-07-03;9
121017;18108400000036;2019-08-17;1
121017;18108400000036;2019-08-18;1
121017;18108400000036;2019-08-19;1
121017;18108400000036;2019-08-20;1
121017;18108400000036;2019-08-21;1
121017;18108400000036;2019-08-22;1
121017;18108400000036;2019-07-27;1
121017;18108400000036;2019-07-28;1
121017;18108400000036;2019-07-29;1
121017;18108400000036;2019-07-30;1
121017;18108400000036;2019-07-31;1
121017;18108400000036;2019-08-01;1
121017;18108400000036;2019-08-02;1
121017;18108400000036;2019-08-03;1
121017;18108400000036;2019-08-04;1
121017;18108400000036;2019-08-05;1
121017;18108400000036;2019-08-06;1
121017;18108400000036;2019-08-07;1
121017;18108400000036;2019-08-08;1
121017;18108400000036;2019-08-09;1
121017;18108400000036;2019-08-10;1
121017;18108400000036;2019-08-11;1
121017;18108400000036;2019-08-12;1
121017;18108400000036;2019-08-13;1
121017;18108400000036;2019-08-14;1
121017;18108400000036;2019-08-15;1
121017;18108400000036;2019-08-16;1
121017;18108400000036;2019-07-23;1
121017;18108400000036;2019-07-24;1
121017;18108400000036;2019-07-25;1
121017;18108400000036;2019-07-26;1
121017;18108400000036;2019-06-28;9
121017;18108400000036;2019-06-29;9
121017;18108400000036;2019-06-30;9
121017;18108400000036;2019-07-01;9
121017;18108400000036;2019-07-02;9
121017;18108400000036;2019-07-04;9
121017;18108400000036;2019-07-05;9
121017;18108400000036;2019-07-06;9
121017;18108400000036;2019-07-07;9
121017;18108400000036;2019-07-08;9
121017;18108400000036;2019-07-09;9
121017;18108400000036;2019-07-10;9
121017;18108400000036;2019-07-11;9
121017;18108400000036;2019-07-12;5
121017;18108400000036;2019-07-13;3
121017;18108400000036;2019-07-14;3
121017;18108400000036;2019-07-15;2
121017;18108400000036;2019-07-16;1
121017;18108400000036;2019-07-17;1
121017;18108400000036;2019-07-18;1
121017;18108400000036;2019-07-19;1
121017;18108400000036;2019-07-20;1
121017;18108400000036;2019-07-21;1
121017;18108400000036;2019-07-22;1
121017;18108400000036;2019-06-01;9
121017;18108400000036;2019-06-02;9
121017;18108400000036;2019-06-03;9
121017;18108400000036;2019-06-04;9
121017;18108400000036;2019-06-05;9
121017;18108400000036;2019-06-06;9
121017;18108400000036;2019-06-07;9
121017;18108400000036;2019-06-08;9
121017;18108400000036;2019-06-09;9
121017;18108400000036;2019-06-10;9
121017;18108400000036;2019-06-11;9
121017;18108400000036;2019-06-12;9
121017;18108400000036;2019-06-13;9
121017;18108400000036;2019-06-14;9
121017;18108400000036;2019-06-15;9
121017;18108400000036;2019-06-16;9
121017;18108400000036;2019-06-17;9
121017;18108400000036;2019-06-18;9
121017;18108400000036;2019-06-19;9
121017;18108400000036;2019-06-20;9
121017;18108400000036;2019-06-21;9
121017;18108400000036;2019-06-22;9
121017;18108400000036;2019-06-23;9
121017;18108400000036;2019-06-24;9
121017;18108400000036;2019-06-25;9
121017;18108400000036;2019-06-26;9
121017;18108400000036;2019-06-27;9
121017;18108400000038;2019-07-03;1
121017;18108400000038;2019-08-17;2
121017;18108400000038;2019-08-18;2
121017;18108400000038;2019-08-19;2
121017;18108400000038;2019-08-20;2
121017;18108400000038;2019-08-21;2
121017;18108400000038;2019-08-22;2
121017;18108400000038;2019-07-27;2
121017;18108400000038;2019-07-28;2
121017;18108400000038;2019-07-29;2
121017;18108400000038;2019-07-30;2
121017;18108400000038;2019-07-31;2
121017;18108400000038;2019-08-01;2
121017;18108400000038;2019-08-02;2
121017;18108400000038;2019-08-03;2
121017;18108400000038;2019-08-04;2
121017;18108400000038;2019-08-05;2
121017;18108400000038;2019-08-06;2
121017;18108400000038;2019-08-07;2
121017;18108400000038;2019-08-08;2
121017;18108400000038;2019-08-09;2
121017;18108400000038;2019-08-10;2
121017;18108400000038;2019-08-11;2
121017;18108400000038;2019-08-12;2
121017;18108400000038;2019-08-13;2
121017;18108400000038;2019-08-14;2
121017;18108400000038;2019-08-15;2
121017;18108400000038;2019-08-16;2
121017;18108400000038;2019-07-23;1
121017;18108400000038;2019-07-24;1
121017;18108400000038;2019-07-25;1
121017;18108400000038;2019-07-26;1
121017;18108400000038;2019-06-28;1
121017;18108400000038;2019-06-29;1
121017;18108400000038;2019-06-30;1
121017;18108400000038;2019-07-01;1
121017;18108400000038;2019-07-02;1
121017;18108400000038;2019-07-04;1
121017;18108400000038;2019-07-05;1
121017;18108400000038;2019-07-06;1
121017;18108400000038;2019-07-07;1
121017;18108400000038;2019-07-08;1
121017;18108400000038;2019-07-09;1
121017;18108400000038;2019-07-10;1
121017;18108400000038;2019-07-11;1
121017;18108400000038;2019-07-12;1
121017;18108400000038;2019-07-13;1
121017;18108400000038;2019-07-14;1
121017;18108400000038;2019-07-15;1
121017;18108400000038;2019-07-16;1
121017;18108400000038;2019-07-17;1
121017;18108400000038;2019-07-18;1
121017;18108400000038;2019-07-19;1
121017;18108400000038;2019-07-20;1
121017;18108400000038;2019-07-21;1
121017;18108400000038;2019-07-22;1
121017;18108400000038;2019-06-01;1
121017;18108400000038;2019-06-02;1
121017;18108400000038;2019-06-03;1
121017;18108400000038;2019-06-04;1
121017;18108400000038;2019-06-05;1
121017;18108400000038;2019-06-06;1
121017;18108400000038;2019-06-07;1
121017;18108400000038;2019-06-08;1
121017;18108400000038;2019-06-09;1
121017;18108400000038;2019-06-10;1
121017;18108400000038;2019-06-11;1
121017;18108400000038;2019-06-12;1
121017;18108400000038;2019-06-13;1
121017;18108400000038;2019-06-14;1
121017;18108400000038;2019-06-15;1
121017;18108400000038;2019-06-16;1
121017;18108400000038;2019-06-17;1
121017;18108400000038;2019-06-18;1
121017;18108400000038;2019-06-19;1
121017;18108400000038;2019-06-20;1
121017;18108400000038;2019-06-21;1
121017;18108400000038;2019-06-22;1
121017;18108400000038;2019-06-23;1
121017;18108400000038;2019-06-24;1
121017;18108400000038;2019-06-25;1
121017;18108400000038;2019-06-26;1
121017;18108400000038;2019-06-27;1
121017;18110750200742;2019-07-03;15
121017;18110750200742;2019-08-17;16
121017;18110750200742;2019-08-18;16
121017;18110750200742;2019-08-19;16
121017;18110750200742;2019-08-20;16
121017;18110750200742;2019-08-21;16
121017;18110750200742;2019-08-22;16
121017;18110750200742;2019-07-27;16
121017;18110750200742;2019-07-28;16
121017;18110750200742;2019-07-29;16
121017;18110750200742;2019-07-30;16
121017;18110750200742;2019-07-31;16
121017;18110750200742;2019-08-01;16
121017;18110750200742;2019-08-02;16
121017;18110750200742;2019-08-03;16
121017;18110750200742;2019-08-04;16
121017;18110750200742;2019-08-05;16
121017;18110750200742;2019-08-06;16
121017;18110750200742;2019-08-07;16
121017;18110750200742;2019-08-08;16
121017;18110750200742;2019-08-09;16
121017;18110750200742;2019-08-10;16
121017;18110750200742;2019-08-11;16
121017;18110750200742;2019-08-12;16
121017;18110750200742;2019-08-13;16
121017;18110750200742;2019-08-14;16
121017;18110750200742;2019-08-15;16
121017;18110750200742;2019-08-16;16
121017;18110750200742;2019-07-23;15
121017;18110750200742;2019-07-24;15
121017;18110750200742;2019-07-25;15
121017;18110750200742;2019-07-26;15
121017;18110750200742;2019-06-28;15
121017;18110750200742;2019-06-29;15
121017;18110750200742;2019-06-30;15
121017;18110750200742;2019-07-01;15
121017;18110750200742;2019-07-02;15
